cas,name,smi,product_id,pack_size_min,price,availability,price_per_gram,NH2_num,term_acetylene_num,N3_num,14sub_123triazole_num
24152-95-2,2-Amino-1-(pyrrolidin-1-yl)ethanone,NCC(=O)N1CCCC1,BD77934,100mg,113.1,InStock,1131.0,1.0,0.0,0.0,0.0
4664-55-5,2-Phenoxyacetohydrazide,NNC(=O)COc1ccccc1,BD78003,250mg,90.35,InStock,361.4,1.0,0.0,0.0,0.0
25395-22-6,2-(2-Carbamoylphenoxy)acetic acid,NC(=O)c1ccccc1OCC(=O)O,BD7809,1g,50.7,InStock,50.7,1.0,0.0,0.0,0.0
253120-47-7,2-Amino-3-(methoxycarbonyl)benzoic acid,COC(=O)c1cccc(C(=O)O)c1N,BD7812,100mg,149.5,InStock,1495.0,1.0,0.0,0.0,0.0
1924-77-2,"[1,1'-Biphenyl]-2-ylmethanamine",NCc1ccccc1-c1ccccc1,BD78154,100mg,79.95,InStock,799.5,1.0,0.0,0.0,0.0
1452-63-7,Picolinohydrazide,NNC(=O)c1ccccn1,BD78283,100mg,16.25,InStock,162.5,1.0,0.0,0.0,0.0
421-85-2,Trifluoromethanesulfonamide,NS(=O)(=O)C(F)(F)F,BD7835,250mg,10.4,InStock,41.6,1.0,0.0,0.0,0.0
497-18-7,Carbohydrazide,NNC(=O)NN,BD7840,25g,26.65,InStock,1.07,2.0,0.0,0.0,0.0
177202-83-4,2-(Pyridin-3-yl)aniline,Nc1ccccc1-c1cccnc1,BD78462,100mg,141.7,InStock,1417.0,1.0,0.0,0.0,0.0
131852-54-5,(S)-1-Benzylpyrrolidin-3-amine dihydrochloride,Cl.Cl.N[C@H]1CCN(Cc2ccccc2)C1,BD7847,1g,65.0,InStock,65.0,1.0,0.0,0.0,0.0
147081-44-5,(S)-1-Boc-3-Aminopyrrolidine,CC(C)(C)OC(=O)N1CC[C@H](N)C1,BD7848,1g,16.25,InStock,16.25,1.0,0.0,0.0,0.0
442129-37-5,6-Chloro-5-methylpyridin-2-amine,Cc1ccc(N)nc1Cl,BD78489,100mg,16.25,InStock,162.5,1.0,0.0,0.0,0.0
110919-71-6,2-Amino-5-fluoro-6-methylpyridine,Cc1nc(N)ccc1F,BD78491,100mg,13.65,InStock,136.5,1.0,0.0,0.0,0.0
67515-76-8,Methyl 5-aminopicolinate,COC(=O)c1ccc(N)cn1,BD78507,250mg,27.95,InStock,111.8,1.0,0.0,0.0,0.0
100155-73-5,1-(2-Pyridyl)-1-propylamine,CCC(N)c1ccccn1,BD78511,100mg,85.8,InStock,858.0,1.0,0.0,0.0,0.0
65938-79-6,3-Methylpyridine-2-sulfonamide,Cc1cccnc1S(N)(=O)=O,BD78518,100mg,219.05,InStock,2190.5,1.0,0.0,0.0,0.0
14294-11-2,1-(Pyridin-2-yl)thiourea,NC(=S)Nc1ccccn1,BD78528,1g,19.5,InStock,19.5,1.0,0.0,0.0,0.0
