cas,name,smi,product_id,pack_size_min,price,availability,price_per_gram,NH2_num,term_acetylene_num,N3_num,14sub_123triazole_num
55947-46-1,Sodium prop-2-yne-1-sulfonate,C#CCS(=O)(=O)[O-].[Na+],BD78424,10g,24.7,InStock,2.47,0.0,1.0,0.0,0.0
173306-82-6,Methyl 2-((tert-butoxycarbonyl)amino)pent-4-ynoate,C#CCC(NC(=O)OC(C)(C)C)C(=O)OC,BD78652,100mg,294.45,InStock,2944.5,0.0,1.0,0.0,0.0
556112-20-0,"1,2-Dichloro-4-ethynylbenzene",C#Cc1ccc(Cl)c(Cl)c1,BD81783,250mg,101.4,InStock,405.6,0.0,1.0,0.0,0.0
107-54-0,"3,5-Dimethylhex-1-yn-3-ol",C#CC(C)(O)CC(C)C,BD82776,25g,24.05,InStock,0.96,0.0,1.0,0.0,0.0
29171-20-8,"3,7-Dimethyloct-6-en-1-yn-3-ol",C#CC(C)(O)CCC=C(C)C,BD83142,5g,64.35,InStock,12.87,0.0,1.0,0.0,0.0
108575-32-2,3-Methylpent-1-yn-3-amine hydrochloride,C#CC(C)(N)CC.Cl,BD84065,100mg,48.1,InStock,481.0,1.0,1.0,0.0,0.0
705-28-2,1-Ethynyl-3-(trifluoromethyl)benzene,C#Cc1cccc(C(F)(F)F)c1,BD86711,100mg,18.2,InStock,182.0,0.0,1.0,0.0,0.0
768-70-7,3-Ethynylanisole,C#Cc1cccc(OC)c1,BD86713,1g,41.6,InStock,41.6,0.0,1.0,0.0,0.0
171290-53-2,3-Ethynylbenzonitrile,C#Cc1cccc(C#N)c1,BD86716,100mg,60.45,InStock,604.5,0.0,1.0,0.0,0.0
2510-23-8,3-Ethynylpyridine,C#Cc1cccnc1,BD86718,250mg,15.6,InStock,62.4,0.0,1.0,0.0,0.0
67237-53-0,3-Ethynylthiophene,C#Cc1ccsc1,BD86719,1g,45.5,InStock,45.5,0.0,1.0,0.0,0.0
5651-86-5,4-(Prop-2-yn-1-yloxy)benzaldehyde,C#CCOc1ccc(C=O)cc1,BD91579,1g,57.2,InStock,57.2,0.0,1.0,0.0,0.0
78592-82-2,(But-3-yn-1-yloxy)(tert-butyl)dimethylsilane,C#CCCO[Si](C)(C)C(C)(C)C,BD91614,1g,45.5,InStock,45.5,0.0,1.0,0.0,0.0
42472-69-5,1-(4-Ethynylphenyl)ethanone,C#Cc1ccc(C(C)=O)cc1,BD93470,100mg,33.8,InStock,338.0,0.0,1.0,0.0,0.0
84284-70-8,4'-Benzyloxyphenyl acetylene,C#Cc1ccc(OCc2ccccc2)cc1,BD94537,250mg,124.15,InStock,496.6,0.0,1.0,0.0,0.0
38771-21-0,4-Bromo-1-butyne,C#CCCBr,BD94666,1g,24.7,InStock,24.7,0.0,1.0,0.0,0.0
351002-93-2,4-Ethynyl-1-fluoro-2-methylbenzene,C#Cc1ccc(F)c(C)c1,BD97044,250mg,139.75,InStock,559.0,0.0,1.0,0.0,0.0
3034-86-4,Methyl 4-ethynylbenzoate,C#Cc1ccc(C(=O)OC)cc1,BD97049,100mg,8.45,InStock,84.5,0.0,1.0,0.0,0.0
144693-65-2,Sodium 4-ethynylbenzoate,C#Cc1ccc(C(=O)[O-])cc1.[Na+],BD97050,100mg,55.25,InStock,552.5,0.0,1.0,0.0,0.0
3032-92-6,4-Ethynylbenzonitrile,C#Cc1ccc(C#N)cc1,BD97051,250mg,11.7,InStock,46.8,0.0,1.0,0.0,0.0
10602-04-7,(4-Ethynylphenyl)methanol,C#Cc1ccc(CO)cc1,BD97052,100mg,22.75,InStock,227.5,0.0,1.0,0.0,0.0
2200-91-1,4-Ethynylphenol,C#Cc1ccc(O)cc1,BD97053,50mg,616.85,InStock,12337.0,0.0,1.0,0.0,0.0
2510-22-7,4-Ethynylpyridine,C#Cc1ccncc1,BD97055,100mg,41.6,InStock,416.0,0.0,1.0,0.0,0.0
352530-29-1,4-Ethynylpyridine hydrochloride,C#Cc1ccncc1.Cl,BD97056,250mg,14.3,InStock,57.2,0.0,1.0,0.0,0.0
5390-04-5,4-Pentyn-1-ol,C#CCCCO,BD99861,1g,12.35,InStock,12.35,0.0,1.0,0.0,0.0
16520-62-0,4-Phenyl-1-butyne,C#CCCc1ccccc1,BD99918,250mg,59.8,InStock,239.2,0.0,1.0,0.0,0.0
936446-61-6,N-(3-Ethynylphenyl)-7-methoxy-6-(3-morpholinopropoxy)quinazolin-4-amine,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCN4CCOCC4)cc23)c1,BD00967203,100mg,573.3,InStock,5733.0,0.0,1.0,0.0,0.0
53016-31-2,"(8R,9S,10R,13S,14S,17R,E)-13-ethyl-17-ethynyl-17-hydroxy-6,7,8,9,10,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3(2H)-one oxime",C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,BD123562,5mg,362.7,InStock,72540.0,0.0,1.0,0.0,0.0
54024-22-5,"(8S,9S,10R,13S,14S,17R)-13-Ethyl-17-ethynyl-11-methylene-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-ol",C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,BD123836,100mg,349.7,InStock,3497.0,0.0,1.0,0.0,0.0
434-03-7,"(8R,9S,10R,13S,14S,17R)-17-Ethynyl-17-hydroxy-10,13-dimethyl-6,7,8,9,10,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3(2H)-one",C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,BD127691,5g,50.05,InStock,10.01,0.0,1.0,0.0,0.0
54048-10-1,Etonogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,BD129875,250mg,256.1,InStock,1024.4,0.0,1.0,0.0,0.0
60282-87-3,"(8R,9S,10R,13S,14S,17R)-13-Ethyl-17-ethynyl-17-hydroxy-6,7,8,9,10,11,12,13,14,17-decahydro-1H-cyclopenta[a]phenanthren-3(2H)-one",C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,BD132001,250mg,293.15,InStock,1172.6,0.0,1.0,0.0,0.0
797-63-7,"(8R,9S,10R,13S,14S,17R)-13-Ethyl-17-ethynyl-17-hydroxy-6,7,8,9,10,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3(2H)-one",C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,BD136604,250mg,63.7,InStock,254.8,0.0,1.0,0.0,0.0
72-33-3,Mestranol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,BD137552,250mg,120.9,InStock,483.6,0.0,1.0,0.0,0.0
68-22-4,"(8R,9S,10R,13S,14S,17R)-17-Ethynyl-17-hydroxy-13-methyl-6,7,8,9,10,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3(2H)-one",C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,BD145460,1g,29.25,InStock,29.25,0.0,1.0,0.0,0.0
3836-23-5,Norethisterone enanthate,C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,BD145461,250mg,50.7,InStock,202.8,0.0,1.0,0.0,0.0
158353-15-2,"1-(3-Chloro-4,5,6,7-tetrahydropyrazolo[1,5-a]pyridin-2-yl)-5-(methyl(prop-2-yn-1-yl)amino)-1H-pyrazole-4-carbonitrile",C#CCN(C)c1c(C#N)cnn1-c1nn2c(c1Cl)CCCC2,BD315352,5mg,1448.2,InStock,289640.0,0.0,1.0,0.0,0.0
57-63-6,"(8R,9S,13S,14S,17R)-17-Ethynyl-13-methyl-7,8,9,11,12,13,14,15,16,17-decahydro-6H-cyclopenta[a]phenanthrene-3,17-diol",C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,BD34146,1g,47.45,InStock,47.45,0.0,1.0,0.0,0.0
297-76-7,"(3S,8R,9S,10R,13S,14S,17R)-17-Ethynyl-13-methyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,17-diyl diacetate",C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,BD56129,100mg,40.95,InStock,409.5,0.0,1.0,0.0,0.0
42969-65-3,(R)-But-3-yn-2-ol,C#C[C@@H](C)O,BD47084,250mg,18.2,InStock,72.8,0.0,1.0,0.0,0.0
