"['136236-51-6', 'BD79149']"
"['1349199-60-5', 'BD7958']"
"['704-41-6', 'BD81567']"
"['4282-77-3', 'BD82463']"
"['15727-65-8', 'BD8247']"
"['2227272-78-6', 'BD83700']"
"['92866-00-7', 'BD83791']"
"['41876-72-6', 'BD84175']"
"['1332585-62-2', 'BD84301']"
"['2154356-63-3', 'BD84538']"
"['1416990-26-5', 'BD85206']"
"['1093307-29-9', 'BD8642']"
"['BD01624241', 'BD87899']"
"['161735-79-1', 'BD90062']"
"['1408074-62-3', 'BD91689']"
"['1374115-61-3', 'BD92314']"
"['2949-26-0', 'BD92471']"
"['4616-63-1', 'BD93159']"
"['162318-34-5', 'BD93908']"
"['851895-20-0', 'BD9411']"
"['1202355-37-0', 'BD9418']"
